title,selling_price,MRP,discount,rating,reviews,availability,url,scrape_datetime,review_text
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),299,999.00,70,4.1,413846,In stock,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_1?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-1,2025-01-29 07:38:54,"Headset quality is perfect and color also same aani ordered functionality, sound quality, volume control, length all good. Nice product to use.. And budget friendly also.."
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Green)",159,399.00,60,3.5,56185,In stock,https://www.amazon.in/ZEBRONICS-Zeb-Bro-Earphones-Compatible-Green/dp/B09R24JBYV/ref=sr_1_2?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-2,2025-01-29 07:39:00,"The **ZEBRONICS Zeb-Bro in-ear wired earphones** are a fantastic find! 🎧 For such an affordable price, the **sound quality** is truly impressive. The **10mm drivers** deliver clear audio with balanced bass, making music, podcasts, and calls a pleasure. Whether I’m listening to soft melodies or bass-heavy tracks, the sound is crisp and immersive. 🎵The **in-built mic** is a great addition, ensuring clear communication during calls without any issues. I’ve used these earphones for both meetings and casual conversations, and the performance is flawless.The **3.5mm audio jack** offers wide compatibility, and it works perfectly with my phone, laptop, and tablet. Plus, the **comfort** of the earbuds is worth mentioning – they fit snugly without causing any discomfort, even during extended use.What I love the most is how **lightweight and durable** these earphones are. The cable is of decent length and doesn't tangle easily, which is a huge bonus. For such a budget-friendly price, ZEBRONICS has nailed it with both quality and performance!If you’re looking for **reliable, everyday earphones** that offer great sound at an affordable price, the Zeb-Bro is an excellent choice.**Five stars – Highly recommended!** 🌟"
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Black)",599,1299.00,54,4.1,197194,In stock,https://www.amazon.in/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=sr_1_3?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-3,2025-01-29 07:39:05,really good quality of music. comfortable design. Good for this price range
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (Blue)",999,4999.00,80,3.8,31409,In stock,https://aax-eu.amazon.in/x/c/JJjVhw0TVDKuFpUWh7-eH-IAAAGUsP-YKgMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICD64rYG/clv1_CEuOPUxokZA0iHrVX8ES4w7qZk1eS-YKsK0O1SLXq-0px38z02G3Xvw18HHz9hvVjq0yzpNb3X7OfU30A3t7IXdDGxu3K-_qT34JXEhRVQb9EtpzxYgc6JJGZxuDmEBO2uX0sNhuDVjeMTK3QLQVwbRgf9bl9RWDbJEJRNp_WgnNl6TP0wh_BQz6aMG1d6E0RmwRasCZ0dZURXZyPcNaI_wKlsWyldAlcVLYNr4z2RUBu58tmrakA0Elg0fgnh1cH3rhcPHT-QZjz1BfZo4-Rj2ERXSojQDWf8eSyI6oYLRuBU24w6KAziyvUE_5Ao2vHZ1qNo8SP6nzmLbJIduqAux2-aZrTmFnbcBzur2clJ7xECkd01Zdw291hR47/https://www.amazon.in/Boult-Audio-Wireless-Playtime-Bluetooth/dp/B0BQN2RMJF/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=23H19CC51YB96&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B0BQN2RMJF&pd_rd_r=76a6c0bd-ffea-49a4-9d67-adf88ee4d0da&pd_rd_w=1HBJF&pd_rd_wg=5C18G&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=XVRAEN0GEK2FYC41GRG0&qid=1738136328&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,2025-01-29 07:39:09,बहुत अच्छा उत्पादन आपने बनाया है हमें बेहद खुशी हुई यह बहुत ही अच्छा है और यह आज भी चल रहा है एक बार यह खराब हो चुका है तो हमने इसे बदलवा लिया था और अभी बिल्कुल ठीक चल रहा है इसकी वारंटी समाप्त हो चुकी है लेकिन आज भी यह चल रहा है बहुत अच्छा आपने मुझे भेजो ग्राहक बेहद खुश है एक आपसे निवेदन है कि बिना और टिप्स वाले एयरपोर्ट्स भी बनाए इसी डिजाइन में आप बहुत ही अच्छा कार्य कर रहे हैं आपका बहुत-बहुत धन्यवाद जो भी इसे खरीदेगा वह निराश नहीं होगा
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (Blue)",999,4999.00,80,3.8,31409,In stock,https://aax-eu.amazon.in/x/c/JJjVhw0TVDKuFpUWh7-eH-IAAAGUsP-YKgMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICD64rYG/clv1_CEuOPUxokZA0iHrVX8ES4w7qZk1eS-YKsK0O1SLXq-0px38z02G3Xvw18HHz9hvVjq0yzpNb3X7OfU30A3t7IXdDGxu3K-_qT34JXEhRVQb9EtpzxYgc6JJGZxuDmEBO2uX0sNhuDVjeMTK3QLQVwbRgf9bl9RWDbJEJRNp_WgnNl6TP0wh_BQz6aMG1d6E0RmwRasCZ0dZURXZyPcNaI_wKlsWyldAlcVLYNr4z2RUBu58tmrakA0Elg0fgnh1cH3rhcPHT-QZjz1BfZo4-Rj2ERXSojQDWf8eSyI6oYLRuBU24w6KAziyvUE_5Ao2vHZ1qNo8SP6nzmLbJIduqAux2-aZrTmFnbcBzur2clJ7xECkd01Zdw291hR47/https://www.amazon.in/Boult-Audio-Wireless-Playtime-Bluetooth/dp/B0BQN2RMJF/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=23H19CC51YB96&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B0BQN2RMJF&pd_rd_r=76a6c0bd-ffea-49a4-9d67-adf88ee4d0da&pd_rd_w=1HBJF&pd_rd_wg=5C18G&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=XVRAEN0GEK2FYC41GRG0&qid=1738136328&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,2025-01-29 07:39:14,बहुत अच्छा उत्पादन आपने बनाया है हमें बेहद खुशी हुई यह बहुत ही अच्छा है और यह आज भी चल रहा है एक बार यह खराब हो चुका है तो हमने इसे बदलवा लिया था और अभी बिल्कुल ठीक चल रहा है इसकी वारंटी समाप्त हो चुकी है लेकिन आज भी यह चल रहा है बहुत अच्छा आपने मुझे भेजो ग्राहक बेहद खुश है एक आपसे निवेदन है कि बिना और टिप्स वाले एयरपोर्ट्स भी बनाए इसी डिजाइन में आप बहुत ही अच्छा कार्य कर रहे हैं आपका बहुत-बहुत धन्यवाद जो भी इसे खरीदेगा वह निराश नहीं होगा
boAt bassheads 105 Wired in Ear Earphones with Mic (Green),399,999.00,60,4.0,37401,In stock,https://www.amazon.in/boAt-Bassheads-105-Headset-Iguana/dp/B08YYSX5XX/ref=sr_1_4?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-4,2025-01-29 07:39:19,You don't have to charge them again & again that's why I bought them the quality is really nice looks good in this color sound is very clear light weight durability is good .
"Ambrane Wired in Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Black)",179,449.00,60,3.8,4693,In stock,https://www.amazon.in/Ambrane-BoostedBassTM-Multi-Functional-Stringz-Lite/dp/B0BM3DNBS8/ref=sr_1_5?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-5,2025-01-29 07:39:25,The picture doesn’t do justice to the beautiful color of the earphones.The wire and headphones are of good quality and just as shown in the picture. Reasonably priced as well. It has a good level of noise cancellation and enhances the listening experience.
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Black)",159,299.00,47,3.5,56185,In stock,https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone/dp/B07T5DKR5D/ref=sr_1_6?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-6,2025-01-29 07:39:31,"The **ZEBRONICS Zeb-Bro in-ear wired earphones** are a fantastic find! 🎧 For such an affordable price, the **sound quality** is truly impressive. The **10mm drivers** deliver clear audio with balanced bass, making music, podcasts, and calls a pleasure. Whether I’m listening to soft melodies or bass-heavy tracks, the sound is crisp and immersive. 🎵The **in-built mic** is a great addition, ensuring clear communication during calls without any issues. I’ve used these earphones for both meetings and casual conversations, and the performance is flawless.The **3.5mm audio jack** offers wide compatibility, and it works perfectly with my phone, laptop, and tablet. Plus, the **comfort** of the earbuds is worth mentioning – they fit snugly without causing any discomfort, even during extended use.What I love the most is how **lightweight and durable** these earphones are. The cable is of decent length and doesn't tangle easily, which is a huge bonus. For such a budget-friendly price, ZEBRONICS has nailed it with both quality and performance!If you’re looking for **reliable, everyday earphones** that offer great sound at an affordable price, the Zeb-Bro is an excellent choice.**Five stars – Highly recommended!** 🌟"
"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Midnight Black)",799,3990.00,80,3.2,426,In stock,https://www.amazon.in/boAt-Airdopes-91-Prime-Bluetooth/dp/B0DPWL48Z5/ref=sr_1_7?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-7,2025-01-29 07:39:36,This product is very amazing ...sound quality of this product is very amazing...these earpods changes it sound according to beat of the song ...these earpods charge in a very short period of time and we can use it consistently for a long period ..these are are very easy to carry and fit in very small space ..this product is very useful  I am using this product from a long period of time and I loved this product ...the colour of earpods are very cool inlooking and these earpods are available in two different shades both are very cool ...these earpods connect to two different devices at the same time ..and two people use it at the same time ....no background voice is audible while using this product ......on a call voice is very clear and the next one listen your voice very clearly and no background voice is audible to other ....this product is worth of money ...it is one time investment and lifetime useful....and best gift for gifting it to your loved one ...one more benifit is this that it come with a lead so you don't need any extra charger for this
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),449,1490.00,70,4.1,175774,In stock,https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_8?crid=23H19CC51YB96&dib=eyJ2IjoiMSJ9.HJAFnU3SJw9bn5ayGoOABykwnRqwV5UWaoC0Q4CwKIJH9F9VcRW-QdN_bhlzxwv4ve4tZ4G1zQSU44nEDjFuRHFhY3VviQkUnprwQnV-lZRY0F10mbue-6LEQyth86PcmYnmSq-Iif8rabEfUf1fFy35s0-tcoCIaN3XRuzA5NKEsK8kyO4QkCbwSpwlTuWo59mbpOPe6Bq82yH24hj8O0lYFqct-WbKcTWPi9ei2hU.HmLjt9Fhuh4-m6gBCbpcisb8MWAdiDs0o4UtwfAOWHc&dib_tag=se&keywords=earphones&qid=1738136328&sr=8-8,2025-01-29 07:39:42,"Well ,this earphone was heck of a beast . I used it for about 2 - 3 years and it worked very well for all these years . It offers a high quality sound, fits perfectly to the ear , doesn't fall off the ear , the wires don't get intangled easily, and the main thing is that , this earphone is very much durable , like very very , I literally used it for 2-3 years .And this is the first time in my life that, a earphone kept on working for this much time . Usually , I had to buy 1-2 earphones in a year , but this earphone saved me so much money.I would highly recommend you to buy this earphone . As it would be worth the cost ."
